;02/02/2026;03/02/2026;04/02/2026;05/02/2026;06/02/2026;09/02/2026;10/02/2026;11/02/2026;12/02/2026;13/02/2026;16/02/2026;17/02/2026;18/02/2026;19/02/2026;20/02/2026;23/02/2026;24/02/2026;25/02/2026;26/02/2026;27/02/2026;Totais
;;;;;;;;;;;;;;;;;;;;;
Saldo Inicial;1.826.374,91 ;1.802.021,80 ;1.799.639,20 ;1.682.684,57 ;1.682.684,57 ;1.597.755,27 ;1.574.809,94 ;1.498.150,72 ;1.498.138,92 ;1.496.482,88 ;1.494.784,76 ;1.544.783,86 ;1.544.782,06 ;1.493.431,04 ;1.412.425,97 ;378.923,57 ;291.269,98 ;220.431,56 ;118.286,64 ;-13.713,36 ;
;;;;;;;;;;;;;;;;;;;;;
Total das Receitas;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;;;;;;;;;;;;;;;;;
Projetos;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Braganþa;;;;;;;;;;;;;;;;;;;;;0,00
Paraguaþu;;;;;;;;;;;;;;;;;;;;;0,00
SAMU - MG;;;;;;;;;;;;;;;;;;;;;0,00
Santo Andre - Clinica;;;;;;;;;;;;;;;;;;;;;0,00
Santo Andre - Cirurgia;;;;;;;;;;;;;;;;;;;;;0,00
SÒo Bernardo;;;;;;;;;;;;;;;;;;;;;0,00
Nardini;;;;;;;;;;;;;;;;;;;;;0,00
Nardini - SAMU;;;;;;;;;;;;;;;;;;;;;0,00
Taquaraþu;;;;;;;;;;;;;;;;;;;;;0,00
Rondonia;;;;;;;;;;;;;;;;;;;;;0,00
Walter;;;;;;;;;;;;;;;;;;;;;0,00
;;;;;;;;;;;;;;;;;;;;;
Clinica;;;;;;;;;;;;;;;;;;;;;0,00
;;;;;;;;;;;;;;;;;;;;;
Resgate Aplicaþ§es/Rendimentos;;;;;;;;;;;;;;;;;;;;;0,00
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Despesas;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Projetos;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Braganþa;;;;;;;;;;;;;;;;;;;;;0,00
Paraguaþu;;;;;;;;;;;;;;;;;;;;;0,00
SAMU - MG;;;;;;;;;;;;;;;;;;;;;0,00
Santo Andre - Clinica;;;;;;;;;;;;;;;;;;;;;0,00
Santo Andre - Cirurgia;;;;;;;;;;;;;;;;;;;;;0,00
SÒo Bernardo;;;;;;;;;;;;;;;;;;;;;0,00
Nardini;;;;;;;;;;;;;;;;;;;;;0,00
Nardini - SAMU;;;;;;;;;;;;;;;;;;;;;0,00
Taquaraþu;;;;;;;;;;;;;;;;;;;;;0,00
Rondonia;;;;;;;;;;;;;;;;;;;;;0,00
Walter;;;;;;;;;;;;;;;;;;;;;0,00
Diversos;;;;;;;;;;;;;;;;;;;;;0,00
;;;;;;;;;;;;;;;;;;;;;
Clinica;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Equipamentos;;;;;;;;;;;;;;;;;;;;;0,00
Aluguel;;;;;;;;;;;;;;;;;;;;;0,00
Condominio;;;;;;;;;;;;;;;;;;;;;0,00
Energia;;;;;;;;;;;;;;;;;;;;;0,00
Insumos;;;;;;;;;;;;;;;;;;;;;0,00
Laboratorio;;;;;;;;;;;;;;;;;;;;;0,00
Limpeza;;;;;;;;;;;;;;;;;;;;;0,00
LocaþÒo de equipamentos;;;;;;;;;;;;;;;;;;;;;0,00
ManutenþÒo/ reforma;;;;;;;;;;;;;;;;;;;;;0,00
Material de escritorio;;;;;;;;;;;;;;;;;;;;;0,00
Material de limpeza;;;;;;;;;;;;;;;;;;;;;0,00
Marketing;;;;;;;;;;;;;;;;;;;;;0,00
Medicos;;;;;;;;;;;;;;;;;;;;;0,00
PrestaþÒo de serviþos;;;;;;;;;;;;;;;;;;;;;0,00
Sistema;;;;;;;;;;;;;;;;;;;;;0,00
Telefone e internet;;;;;;;;;;;;;;;;;;;;;0,00
Taxas / Licenþas;;;;;;;;;;;;;;;;;;;;;0,00
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Inpostos;;;;;;;;;;;;;;;;;;;;;0,00
;;;;;;;;;;;;;;;;;;;;;
ADM;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Salarios;;;;;;;;;;;;;;;;;;;;;0,00
Beneficios;;;;;;;;;;;;;;;;;;;;;0,00
Encargos;;;;;;;;;;;;;;;;;;;;;0,00
Estagiarios;;;;;;;;;;;;;;;;;;;;;0,00
Aluguel;;;;;;;;;;;;;;;;;;;;;0,00
Brindes;;;;;;;;;;;;;;;;;;;;;0,00
CartÒo de credito;;;;;;;;;;;;;;;;;;;;;0,00
Contabilidade;;;;;;;;;;;;;;;;;;;;;0,00
Eventos;;;;;;;;;;;;;;;;;;;;;0,00
Honorarios advocaticios;;;;;;;;;;;;;;;;;;;;;0,00
Licenþa de funcionamento;;;;;;;;;;;;;;;;;;;;;0,00
ManutenþÒo;;;;;;;;;;;;;;;;;;;;;0,00
Marketing;;;;;;;;;;;;;;;;;;;;;0,00
Material escritorio;;;;;;;;;;;;;;;;;;;;;0,00
RescisÒo;;;;;;;;;;;;;;;;;;;;;0,00
Seguros;;;;;;;;;;;;;;;;;;;;;0,00
Sistema;;;;;;;;;;;;;;;;;;;;;0,00
Taxas / Licenþas;;;;;;;;;;;;;;;;;;;;;0,00
Telefone e internet;;;;;;;;;;;;;;;;;;;;;0,00
TI - despesas/serviþos;;;;;;;;;;;;;;;;;;;;;0,00
Prestadores de Serviþos;;;;;;;;;;;;;;;;;;;;;0,00
Viagem;;;;;;;;;;;;;;;;;;;;;0,00
Diversos;;;;;;;;;;;;;;;;;;;;;0,00
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Diretoria;18.000,00;400,00;;;79.950,00;;62.915,79;;1.604,78;1.688,66;;;22.877,36;81.000,00;33.500,00;36.000,00;18.385,96;102.144,92;132.000,00;;590.467,47
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Despesas Financeiras;6.353,11;1.982,60;3.572,03;0,00;0,90;32,38;48,05;11,80;51,26;9,46;0,90;1,80;0,00;5,07;2,40;4,00;0,00;0,00;0,00;0,00;12.075,76
Tarifas Bancarias;172,91;485,00;618,70;;;32,38;48,05;11,80;51,26;9,46;0,90;1,80;;5,07;2,40;4,00;;;;;1.443,73
Juros bancarios;6.180,20;1.497,60;2.953,33;;0,90;;;;;;;;;;;;;;;;10.632,03
;;;;;;;;;;;;;;;;;;;;;
Investimentos;0,00;0,00;0,00;0,00;4.978,40;0,00;6.091,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11.069,76
CapitalizaþÒo;;;;;;;6.091,36;;;;;;;;;;;;;;6.091,36
Consorcios;;;;;4.978,40;;;;;;;;;;;;;;;;4.978,40
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Emprestimos recebidos;;;;;;;;;;;50.000,00;;;;;;;;;;50.000,00
Emprestimos a pagar;;;113.382,60;;;22.912,95;7.604,02;;;;;;28.473,66;;1.000.000,00;51.649,59;52.452,46;;;24.245,68;1.300.720,96
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Saldo final;1.802.021,80 ;1.799.639,20 ;1.682.684,57 ;1.682.684,57 ;1.597.755,27 ;1.574.809,94 ;1.498.150,72 ;1.498.138,92 ;1.496.482,88 ;1.494.784,76 ;1.544.783,86 ;1.544.782,06 ;1.493.431,04 ;1.412.425,97 ;378.923,57 ;291.269,98 ;220.431,56 ;118.286,64 ;-13.713,36 ;-37.959,04 ;
